Well,Fluor,Sample,Cq,SQ,Target
C04,HEX,STD_1000,29.82715762,1000,BHC
C05,HEX,STD_1000,29.77307356,1000,BHC
C06,HEX,STD_1000,29.94994607,1000,BHC
C07,HEX,STD_1000,29.84450705,1000,BHC
C08,HEX,STD_1000,29.90468681,1000,BHC
C09,HEX,STD_1000,29.95638665,1000,BHC
C10,HEX,STD_1000,30.08707779,1000,BHC
C11,HEX,STD_1000,30.08497189,1000,BHC
C12,HEX,STD_1000,30.15506068,1000,BHC
D01,HEX,STD_1000,29.98678352,1000,BHC
D02,HEX,STD_1000,29.89369191,1000,BHC
D03,HEX,STD_1000,30.05991183,1000,BHC
D04,HEX,STD_1000,29.86117193,1000,BHC
D05,HEX,STD_1000,29.78743127,1000,BHC
D06,HEX,STD_1000,30.02648281,1000,BHC
D07,HEX,STD_1000,29.8861456,1000,BHC
D08,HEX,STD_1000,30.05367077,1000,BHC
D09,HEX,STD_1000,29.97054533,1000,BHC
D10,HEX,STD_1000,30.06807762,1000,BHC
D11,HEX,STD_1000,30.16318295,1000,BHC
D12,HEX,STD_1000,30.13824696,1000,BHC
E01,HEX,STD_1000,30.03255678,1000,BHC
E02,HEX,STD_1000,29.9497492,1000,BHC
E03,HEX,STD_1000,29.88469632,1000,BHC
E04,HEX,STD_1000,29.90170403,1000,BHC
E05,HEX,STD_1000,29.76234231,1000,BHC
E06,HEX,STD_1000,29.96413648,1000,BHC
E07,HEX,STD_1000,29.87903961,1000,BHC
E08,HEX,STD_1000,30.00529505,1000,BHC
E09,HEX,STD_1000,30.13091494,1000,BHC
E10,HEX,STD_1000,30.12877251,1000,BHC
E11,HEX,STD_1000,30.10842088,1000,BHC
E12,HEX,STD_1000,30.23118409,1000,BHC
F01,HEX,STD_1000,30.04998467,1000,BHC
F02,HEX,STD_1000,29.87039895,1000,BHC
F03,HEX,STD_1000,29.77116106,1000,BHC
F04,HEX,STD_1000,29.85632158,1000,BHC
F05,HEX,STD_1000,29.9697216,1000,BHC
F06,HEX,STD_1000,29.86992187,1000,BHC
F07,HEX,STD_1000,29.89475148,1000,BHC
F08,HEX,STD_1000,29.99419215,1000,BHC
F09,HEX,STD_1000,29.85362618,1000,BHC
F10,HEX,STD_1000,29.99792036,1000,BHC
F11,HEX,STD_1000,29.95180417,1000,BHC
F12,HEX,STD_1000,30.09194054,1000,BHC
G01,HEX,STD_1000,30.09933568,1000,BHC
G02,HEX,STD_1000,29.93101905,1000,BHC
G03,HEX,STD_1000,29.90894827,1000,BHC
G04,HEX,STD_1000,29.90999502,1000,BHC
G05,HEX,STD_1000,29.86804057,1000,BHC
G06,HEX,STD_1000,29.78317192,1000,BHC
G07,HEX,STD_1000,29.87744955,1000,BHC
G08,HEX,STD_1000,29.99953574,1000,BHC
G09,HEX,STD_1000,29.94017025,1000,BHC
G10,HEX,STD_1000,29.92723608,1000,BHC
G11,HEX,STD_1000,30.04339691,1000,BHC
G12,HEX,STD_1000,30.19336087,1000,BHC
H01,HEX,STD_1000,30.08984366,1000,BHC
H02,HEX,STD_1000,30.02318482,1000,BHC
